merchant_id,segment,city,risk_tier,credit_limit_sar,archetype,months_active
M-1001,baqala,Dammam,A,116000,prime,12
M-1002,baqala,Jeddah,A,151000,prime,12
M-1003,horeca,Jeddah,A,185000,prime,12
M-1004,baqala,Madinah,A,116000,prime,12
M-1005,horeca,Makkah,A,73000,prime,12
M-1006,horeca,Madinah,A,94000,prime,12
M-1007,horeca,Dammam,A,110000,prime,12
M-1008,horeca,Jeddah,A,133000,prime,12
M-1009,mini_market,Makkah,A,214000,prime,12
M-1010,horeca,Makkah,A,92000,prime,12
M-1011,horeca,Khobar,A,200000,prime,12
M-1012,baqala,Khobar,A,159000,prime,12
M-1013,mini_market,Khobar,B,28000,steady,12
M-1014,baqala,Jeddah,B,25000,steady,12
M-1015,horeca,Madinah,B,76000,steady,12
M-1016,mini_market,Dammam,B,54000,steady,12
M-1017,horeca,Dammam,B,50000,steady,12
M-1018,baqala,Makkah,B,68000,steady,12
M-1019,mini_market,Dammam,B,30000,steady,12
M-1020,mini_market,Riyadh,B,44000,steady,12
M-1021,horeca,Khobar,B,70000,steady,12
M-1022,mini_market,Makkah,B,39000,steady,12
M-1023,horeca,Riyadh,B,54000,steady,12
M-1024,mini_market,Madinah,B,66000,steady,12
M-1025,baqala,Dammam,B,37000,steady,12
M-1026,mini_market,Dammam,B,69000,steady,12
M-1027,mini_market,Jeddah,B,58000,steady,12
M-1028,mini_market,Jeddah,B,54000,steady,12
M-1029,baqala,Khobar,B,63000,steady,12
M-1030,baqala,Jeddah,B,49000,steady,12
M-1031,horeca,Madinah,B,30000,growing,12
M-1032,baqala,Dammam,B,28000,growing,12
M-1033,horeca,Dammam,B,21000,growing,12
M-1034,baqala,Jeddah,B,36000,growing,12
M-1035,horeca,Jeddah,B,28000,growing,12
M-1036,mini_market,Riyadh,B,34000,growing,12
M-1037,mini_market,Madinah,B,28000,growing,12
M-1038,mini_market,Madinah,B,33000,growing,12
M-1039,horeca,Dammam,B,43000,growing,12
M-1040,horeca,Khobar,B,49000,growing,12
M-1041,mini_market,Madinah,B,35000,growing,12
M-1042,horeca,Khobar,B,50000,growing,12
M-1043,mini_market,Madinah,C,36000,stretched,12
M-1044,baqala,Dammam,C,62000,stretched,12
M-1045,baqala,Jeddah,C,42000,stretched,12
M-1046,horeca,Madinah,C,28000,stretched,12
M-1047,mini_market,Jeddah,C,40000,stretched,12
M-1048,mini_market,Riyadh,C,43000,stretched,12
M-1049,horeca,Riyadh,C,45000,stretched,12
M-1050,baqala,Dammam,C,30000,stretched,12
M-1051,baqala,Dammam,D,17000,delinquent,12
M-1052,horeca,Dammam,D,17000,delinquent,12
M-1053,baqala,Makkah,D,14000,delinquent,12
M-1054,mini_market,Makkah,D,23000,delinquent,12
M-1055,mini_market,Makkah,D,24000,delinquent,12
M-1056,mini_market,Khobar,D,16000,delinquent,12
M-1057,baqala,Jeddah,C,12000,thin,2
M-1058,mini_market,Jeddah,C,15000,thin,2
M-1059,horeca,Dammam,C,16000,thin,2
M-1060,baqala,Makkah,C,15000,thin,2
