transaction_id,merchant_id,date,amount_sar,financed,term_days,days_to_repay,status
T-000296,M-1004,2025-08-31,43117,1,30,15,on_time
T-001238,M-1014,2025-08-31,5955,0,,,cash
T-001241,M-1014,2025-08-31,9995,1,30,30,on_time
T-002322,M-1029,2025-08-31,13948,0,,,cash
T-002756,M-1036,2025-08-31,16526,1,30,42,late
T-002968,M-1040,2025-08-31,11802,0,,,cash
T-003206,M-1044,2025-08-31,19452,1,21,19,on_time
T-003281,M-1045,2025-08-31,6887,1,21,9,on_time
T-000297,M-1004,2025-09-01,25967,1,30,15,on_time
T-000591,M-1007,2025-09-01,23758,0,,,cash
T-001062,M-1012,2025-09-01,60253,1,30,30,on_time
T-001240,M-1014,2025-09-01,16381,0,,,cash
T-001458,M-1017,2025-09-01,13313,1,30,16,on_time
T-001671,M-1020,2025-09-01,14386,0,,,cash
T-003079,M-1042,2025-09-01,16285,0,,,cash
T-003282,M-1045,2025-09-01,14500,0,,,cash
T-003437,M-1047,2025-09-01,14497,1,21,40,late
T-003881,M-1054,2025-09-01,14462,1,21,,default
T-001386,M-1016,2025-09-02,36564,1,30,17,on_time
T-002179,M-1027,2025-09-02,11632,1,30,16,on_time
T-002533,M-1032,2025-09-02,10015,0,,,cash
T-002536,M-1032,2025-09-02,4624,0,,,cash
T-002697,M-1035,2025-09-02,12736,1,30,22,on_time
T-002700,M-1035,2025-09-02,9634,0,,,cash
T-002811,M-1037,2025-09-02,18215,0,,,cash
T-003208,M-1044,2025-09-02,21176,1,21,20,on_time
T-003285,M-1045,2025-09-02,24329,1,21,18,on_time
T-000008,M-1001,2025-09-03,20697,1,30,18,on_time
T-000209,M-1003,2025-09-03,33261,1,30,26,on_time
T-000210,M-1003,2025-09-03,51395,1,30,16,on_time
T-000775,M-1009,2025-09-03,38825,1,30,22,on_time
T-000964,M-1011,2025-09-03,37067,0,,,cash
T-001523,M-1018,2025-09-03,14427,1,30,24,on_time
T-001525,M-1018,2025-09-03,28214,1,30,17,on_time
T-001741,M-1021,2025-09-03,31910,0,,,cash
T-002401,M-1030,2025-09-03,31124,1,30,25,on_time
T-002699,M-1035,2025-09-03,7490,1,30,23,on_time
T-002809,M-1037,2025-09-03,13465,0,,,cash
T-003578,M-1049,2025-09-03,36828,0,,,cash
T-000393,M-1005,2025-09-04,9609,1,30,27,on_time
T-001239,M-1014,2025-09-04,8743,0,,,cash
T-001883,M-1023,2025-09-04,25256,0,,,cash
T-003280,M-1045,2025-09-04,14692,0,,,cash
T-003364,M-1046,2025-09-04,12023,1,21,13,on_time
T-003366,M-1046,2025-09-04,5668,0,,,cash
T-000208,M-1003,2025-09-05,59721,0,,,cash
T-000677,M-1008,2025-09-05,31654,1,30,21,on_time
T-001452,M-1017,2025-09-05,13528,0,,,cash
T-001453,M-1017,2025-09-05,23414,0,,,cash
T-001457,M-1017,2025-09-05,6455,1,30,27,on_time
T-001528,M-1018,2025-09-05,29175,1,30,21,on_time
T-001673,M-1020,2025-09-05,7950,1,30,29,on_time
T-002475,M-1031,2025-09-05,11417,0,,,cash
T-002598,M-1033,2025-09-05,14378,0,,,cash
T-003076,M-1042,2025-09-05,12767,1,30,30,on_time
T-003078,M-1042,2025-09-05,20892,0,,,cash
T-003139,M-1043,2025-09-05,15690,0,,,cash
T-003205,M-1044,2025-09-05,9536,1,21,30,late
T-000007,M-1001,2025-09-06,22830,1,30,25,on_time
T-000102,M-1002,2025-09-06,17760,0,,,cash
T-000866,M-1010,2025-09-06,44221,1,30,25,on_time
T-001451,M-1017,2025-09-06,15500,0,,,cash
T-002035,M-1025,2025-09-06,20795,1,30,16,on_time
T-002254,M-1028,2025-09-06,23707,1,30,22,on_time
T-002402,M-1030,2025-09-06,50344,1,30,23,on_time
T-002916,M-1039,2025-09-06,13932,0,,,cash
T-002918,M-1039,2025-09-06,19006,0,,,cash
T-002964,M-1040,2025-09-06,9116,1,30,19,on_time
T-003140,M-1043,2025-09-06,15470,0,,,cash
T-003882,M-1054,2025-09-06,10372,1,21,39,late
T-000301,M-1004,2025-09-07,57450,0,,,cash
T-000490,M-1006,2025-09-07,29724,0,,,cash
T-000493,M-1006,2025-09-07,21150,1,30,28,on_time
T-000774,M-1009,2025-09-07,32705,1,30,17,on_time
T-001167,M-1013,2025-09-07,21808,1,30,25,on_time
T-001311,M-1015,2025-09-07,15088,1,30,30,on_time
T-001675,M-1020,2025-09-07,13501,1,30,26,on_time
